,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
1355,1,2,1,10,0,5,3,4,2,0,3,9,4,2,3,99,3,2,3,9,9,99,1,4,4,1,2,2,3,30,3,3,2,3,96,9,67,60,65,0,99,9,2,3,1,0,3,0,0,1,-9,9,1,35,0,1,5,5,727,1273,1273,1251,4242,0.0,0.0,31834.0,0.0,1523.0,0.0,2691.0,37782.0,113233.0,1283.0,0.0,61.0,0.0,109.0,1523.0,155229.0,0.0,0,1,0,8,2,2
1356,1,2,9,99,9,4,9,1,1,0,2,4,1,1,3,99,3,2,96,9,9,99,0,9,99,1,3,4,3,13,9,9,3,1,96,0,72,68,72,0,96,3,0,99,9,0,1,96,6,0,-9,2,2,42,1,1,1,7,814,814,0,704,5263,0.0,398.0,14986.0,0.0,2714.0,0.0,3229.0,10453.0,0.0,569.0,0.0,103.0,0.0,123.0,397.0,57342.0,0.0,0,1,0,3,0,3
1357,1,2,9,99,9,4,2,2,1,0,2,5,2,2,4,99,3,2,96,9,9,99,0,9,99,1,4,9,2,12,9,9,3,1,96,0,73,68,68,0,96,3,0,99,9,0,1,96,6,0,-9,2,2,80,0,2,1,4,1187,1187,0,704,5263,0.0,505.0,16173.0,0.0,3516.0,0.0,5146.0,8425.0,0.0,608.0,0.0,132.0,0.0,194.0,316.0,69015.0,0.0,0,1,0,2,0,2
1358,2,3,1,20,0,3,1,2,1,0,3,6,4,2,4,99,3,2,96,9,9,99,0,9,99,1,2,4,3,99,2,2,3,1,2,0,73,73,73,0,96,1,0,99,9,1,1,2,6,0,-9,1,1,25,1,1,2,9,1520,1013,507,849,5936,0.0,822.0,32475.0,0.0,5674.0,0.0,6100.0,20701.0,0.0,963.0,0.0,168.0,0.0,181.0,614.0,117059.0,0.0,0,1,0,6,2,3
1359,2,3,1,20,0,1,9,3,1,0,3,7,4,1,3,99,4,2,96,9,9,99,1,4,2,1,4,2,4,13,3,2,3,1,96,1,78,65,70,0,4,2,0,99,9,3,1,96,3,0,-9,1,1,33,1,2,3,10,2959,2959,0,849,5936,0.0,1013.0,28432.0,0.0,6498.0,0.0,4186.0,21270.0,0.0,887.0,0.0,203.0,0.0,130.0,664.0,136192.0,0.0,0,1,0,10,7,3
1360,2,3,0,20,9,2,9,1,1,0,2,4,5,2,3,99,4,2,2,9,9,99,0,9,99,1,2,3,4,99,4,1,3,1,4,0,70,70,70,0,99,9,1,3,0,0,1,1,2,0,-9,1,1,35,0,2,3,8,0,756,0,849,5936,0.0,518.0,19073.0,0.0,0.0,0.0,5494.0,13579.0,0.0,575.0,0.0,0.0,0.0,166.0,409.0,72375.0,0.0,0,1,0,5,3,3
1361,2,3,0,10,9,1,2,2,1,0,3,6,6,2,2,99,5,2,3,9,9,99,0,9,99,1,4,4,2,99,9,9,3,1,2,0,75,50,60,0,99,9,0,99,9,2,5,2,2,0,-9,1,2,35,1,2,6,5,0,1238,0,740,5513,0.0,1297.0,31390.0,0.0,0.0,10347.0,4702.0,16341.0,0.0,928.0,0.0,0.0,306.0,139.0,483.0,164851.0,0.0,0,1,0,10,0,2
1362,2,4,9,99,9,1,1,1,1,0,2,4,2,2,3,99,3,2,96,9,9,99,0,9,99,1,5,2,3,12,9,9,3,1,96,0,68,68,68,0,99,9,1,96,1,2,1,96,6,0,-9,1,1,23,1,1,1,5,271,814,0,922,7153,0.0,189.0,10392.0,0.0,813.0,0.0,3031.0,7132.0,0.0,316.0,0.0,25.0,0.0,92.0,217.0,30451.0,0.0,0,1,0,8,2,2
1363,3,5,0,20,0,9,9,4,2,1,3,10,3,3,2,99,3,2,3,9,9,99,0,9,99,1,2,4,3,30,3,1,4,5,3,1,78,78,78,0,3,2,0,99,9,0,5,3,3,0,-9,9,1,31,0,2,6,5,1892,1892,0,1072,4394,0.0,0.0,79226.0,21759.0,8159.0,17397.0,4713.0,34152.0,0.0,1803.0,495.0,186.0,396.0,107.0,777.0,86180.0,0.0,0,1,0,10,5,3
1364,3,5,0,20,1,5,1,3,2,1,3,9,4,2,3,99,4,2,2,9,9,99,0,9,99,1,3,9,2,99,2,3,3,5,3,0,68,68,68,0,3,3,0,99,9,2,5,4,2,0,-9,9,1,32,0,1,4,8,2139,2139,400,3665,508,0.0,0.0,48911.0,3363.0,19601.0,8482.0,3976.0,15748.0,0.0,1223.0,84.0,490.0,212.0,100.0,393.0,51170.0,0.0,0,1,0,4,2,0
1365,3,5,0,20,1,7,9,4,2,1,4,11,4,1,4,99,3,2,4,9,9,99,0,9,99,1,5,1,3,20,3,3,4,5,4,0,76,76,76,0,4,3,0,99,9,4,5,4,3,0,-9,9,2,51,1,1,2,6,2033,2033,400,3665,508,0.0,0.0,57806.0,2705.0,20285.0,7870.0,7079.0,24422.0,0.0,1427.0,67.0,501.0,194.0,175.0,602.0,62361.0,0.0,0,1,0,12,4,3
1366,3,7,9,99,0,3,9,2,1,1,2,6,2,2,2,99,4,2,4,9,9,99,0,9,99,1,5,1,3,99,9,9,7,2,3,9,75,75,70,0,99,9,1,3,1,0,5,3,1,0,-9,9,1,87,0,1,1,2,141,141,423,2510,1791,188.0,0.0,22803.0,0.0,1464.0,4560.0,12562.0,4217.0,0.0,717.0,0.0,46.0,143.0,395.0,133.0,39994.0,0.0,0,1,0,3,0,0
1367,4,8,1,10,0,1,9,2,1,0,3,6,2,3,1,99,3,1,4,9,9,99,1,2,1,1,3,9,2,99,2,2,3,1,3,9,95,95,95,1,99,9,1,4,1,0,5,2,1,0,-9,1,1,97,0,2,1,1,400,200,1800,912,5675,0.0,944.0,38238.0,2402.0,1765.0,9312.0,7275.0,25983.0,0.0,797.0,50.0,37.0,194.0,152.0,541.0,143875.0,0.0,0,1,0,3,0,0
1368,4,9,0,10,0,4,9,3,2,0,3,8,3,3,2,99,3,2,1,9,9,99,0,9,99,1,2,3,2,99,9,9,7,1,5,9,70,95,95,0,99,9,0,99,9,0,1,4,3,0,-9,1,2,26,0,7,5,5,0,966,193,446,1539,0.0,731.0,11943.0,0.0,0.0,0.0,2032.0,9911.0,0.0,350.0,0.0,0.0,0.0,60.0,290.0,87163.0,0.0,0,1,0,6,2,3
