,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
10828,4,10,0,-2,-2,1980,8,2,1,0,3,5,20,3,3,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,6,3,3,13,-2,-2,7,1,5,0,72,66,66,0,-2,-2,1,5,1,1,1,3,3,-2,-2,1,1,28,1,1,2,24,209,1045,0,701,2684,0.0,281.0,9206.0,0.0,389.69,0.0,2498.25,6318.06,0.0,316.0,0.0,13.38,0.0,85.75,216.87,38009.0,-2.0,0,1,0,3,2,0
10829,1,2,1,20,0,1920,8,2,1,0,2,4,30,3,1,-2,4,21,3,-2,-2,-2,-2,-2,-2,1,4,1,2,20,2,2,3,1,41,0,68,68,68,0,-2,-2,2,41,2,2,1,41,1,0,-2,1,2,47,0,1,1,5,452,1357,0,657,5643,0.0,1093.0,29913.0,0.0,2376.71,0.0,5229.1,22307.2,0.0,1201.0,0.0,95.42,0.0,209.95,895.63,141946.01,-2.0,0,1,0,12,0,0
10830,4,8,0,20,1,1994,6,3,2,1,4,7,50,1,4,-2,3,21,41,-2,-2,-2,1,3,3,5,3,3,3,30,3,3,2,2,42,0,70,70,70,0,-2,-2,-2,-2,-2,1,2,42,3,3,1,-2,2,76,0,1,2,9,0,2712,650,688,5474,1279.0,0.0,65797.0,0.0,0.0,0.0,6150.61,59646.39,0.0,1852.0,0.0,0.0,0.0,173.12,1678.88,182608.33,-2.0,0,1,1,12,4,1
10831,1,1,0,20,0,1965,5,3,2,0,4,7,50,1,4,-2,4,21,2,3,22,2,-2,-2,-2,1,4,1,3,12,3,2,3,1,41,1,72,66,57,0,41,2,-2,-2,-2,7,1,3,2,0,1,1,1,43,1,1,4,18,2016,2016,0,411,6965,0.0,1130.0,36447.0,0.0,2483.93,0.0,6245.41,27717.66,0.0,1738.0,0.0,118.45,0.0,297.82,1321.74,152272.0,1.0,0,2,0,12,6,2
10832,2,4,0,20,1,1990,8,3,1,0,2,5,41,2,3,-2,3,22,3,3,22,42,1,1,2,5,4,3,4,20,2,3,3,1,42,1,68,68,68,0,42,2,-2,-2,-2,3,1,1,2,0,-2,1,2,29,1,1,2,17,837,837,459,674,6763,0.0,636.0,23567.0,1770.06,1303.38,0.0,5336.27,15157.29,0.0,654.0,49.12,36.17,0.0,148.09,420.63,88757.0,-2.0,0,2,0,12,2,2
10833,4,10,0,10,1,1962,5,3,2,0,2,5,30,2,4,1,4,21,2,-2,-2,-2,-2,-2,-2,1,5,3,3,30,3,3,3,1,3,1,68,65,65,0,3,1,-2,-2,-2,2,1,3,2,0,1,1,1,49,0,1,2,24,1871,1871,400,737,2622,0.0,667.0,50535.0,0.0,2029.53,0.0,4200.49,44304.97,0.0,3777.0,0.0,151.69,0.0,313.95,3311.37,118902.99,-2.0,0,1,0,14,10,2
10834,1,2,1,20,0,1976,7,4,2,0,4,8,41,3,2,-2,4,22,3,3,22,41,-2,-2,-2,1,2,1,3,-2,-2,-2,5,5,5,0,70,70,70,0,-2,-2,2,3,1,2,5,5,3,0,-2,-2,1,40,1,1,6,1,777,4662,0,655,5365,0.0,1337.0,27897.0,5979.32,357.57,6928.07,2938.93,11693.12,0.0,1734.0,371.66,22.23,430.63,182.68,726.81,164940.01,-2.0,0,2,0,15,1,2
10835,4,10,1,31,1,2003,7,3,3,1,2,5,41,2,4,-2,5,21,3,-2,-2,-2,-2,-2,-2,1,3,3,3,13,2,3,9,1,3,-2,70,70,70,0,3,1,-2,-2,-2,0,1,3,3,0,0,1,2,41,1,1,2,24,1501,375,2489,1312,1352,0.0,314.0,19428.0,0.0,2273.36,0.0,4201.03,12953.61,0.0,782.0,0.0,91.51,0.0,169.1,521.4,51612.99000000001,-2.0,0,1,0,12,3,2
10836,4,10,0,10,1,1951,8,2,1,0,2,4,30,3,3,-2,3,22,3,3,22,2,-2,-2,-2,5,1,1,1,-2,3,3,6,1,5,0,68,68,65,0,-2,-2,3,1,1,2,1,41,2,1,-2,1,2,53,1,4,5,11,933,683,478,1530,2276,0.0,420.0,29920.0,1988.54,2168.29,0.0,4330.61,21432.56,0.0,610.0,40.54,44.21,0.0,88.29,436.96,72970.0,-2.0,0,2,0,10,5,1
10837,4,10,-2,-2,-2,1975,5,1,1,0,2,3,20,3,4,-2,3,22,42,-2,-2,-2,-2,-2,-2,1,0,3,3,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,1,2,3,-2,-2,-2,1,78,0,1,1,5,0,0,651,1569,895,0.0,27.0,10461.0,0.0,0.0,0.0,4919.46,5541.54,0.0,280.0,0.0,0.0,0.0,131.68,148.33,13229.0,-2.0,0,1,0,4,0,1
