,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
12912,1,1,1,20,0,1920,2,4,1,1,3,7,42,2,4,-2,4,22,2,-2,-2,-2,-2,-2,-2,5,3,4,4,-2,-2,-2,3,3,2,0,68,62,66,0,-2,-2,2,2,1,0,3,2,2,0,-2,-2,2,83,0,1,2,13,357,1248,726,436,6373,0.0,0.0,15552.0,0.0,647.59,0.0,2862.77,12041.64,133004.0,632.0,0.0,26.32,0.0,116.34,489.35,148555.69,-2.0,0,1,0,4,3,2
12913,3,7,0,10,1,1994,6,5,4,1,6,11,42,2,1,-2,5,21,2,-2,-2,-2,-2,-2,-2,5,4,1,2,-2,3,3,3,5,1,0,72,70,75,0,1,2,-2,-2,-2,5,5,3,-2,0,-2,-2,1,46,2,1,5,21,3384,3384,400,4327,478,0.0,0.0,109280.0,5052.99,46242.0,9575.19,5663.56,42746.27,0.0,3009.0,139.13,1273.26,263.65,155.95,1177.01,109280.00999999998,1.0,1,1,0,13,6,1
12914,3,5,-2,-2,-2,1980,8,2,2,0,3,5,30,2,3,-2,3,22,42,-2,-2,-2,-2,-2,-2,5,3,3,2,13,2,3,3,5,3,0,68,65,68,0,3,1,-2,-2,-2,3,5,2,1,-2,-2,-2,1,39,1,1,3,13,1053,1053,0,2600,1112,0.0,0.0,43636.0,5843.18,4110.68,9501.24,3325.5,20855.4,0.0,1433.0,191.89,134.99,312.02,109.21,684.89,43636.0,-2.0,0,1,0,5,6,1
12915,1,2,1,-2,-2,1948,8,1,1,0,3,4,30,2,3,-2,3,22,2,-2,-2,-2,-2,-2,-2,1,4,-2,2,-2,-2,-2,2,1,3,-2,69,60,65,0,-2,-2,-2,-2,-2,0,1,3,3,-2,-2,2,1,23,0,6,3,5,0,524,0,883,4835,0.0,617.0,11819.0,0.0,0.0,0.0,5658.04,6160.96,0.0,595.0,0.0,0.0,0.0,284.84,310.16,75062.01,-2.0,0,1,0,1,0,1
12916,3,5,0,10,0,1990,6,2,2,0,2,4,41,1,4,-2,3,21,2,-2,-2,-2,-2,-2,-2,5,4,1,4,11,2,3,3,5,3,1,78,78,78,0,41,2,-2,-2,-2,4,5,41,2,0,1,-2,1,48,2,1,2,20,1295,1295,0,4566,137,0.0,0.0,20823.0,1176.7,7814.35,3365.85,1457.51,7008.59,0.0,719.0,40.63,269.82,116.22,50.33,242.0,20823.0,-2.0,0,1,0,2,5,2
12917,1,2,0,20,0,2001,7,2,2,1,2,4,30,2,3,-2,3,1,3,-2,-2,-2,-2,-2,-2,1,3,3,3,13,3,3,3,1,3,1,68,68,68,0,3,3,-2,-2,-2,0,1,3,2,0,1,1,2,61,1,1,2,24,1184,1184,0,992,4609,0.0,462.0,23341.0,0.0,4501.96,0.0,2419.14,16419.91,0.0,1249.0,0.0,240.9,0.0,129.45,878.65,70696.01000000001,-2.0,0,1,0,10,3,2
12918,3,5,-2,-2,-2,1940,8,-2,1,0,1,1,20,1,4,-2,4,22,2,-2,-2,-2,-2,-2,-2,1,6,1,4,-2,-2,-2,2,1,41,-2,70,70,70,0,-2,-2,1,2,2,2,1,2,2,-2,-2,2,1,52,1,1,1,24,570,570,0,1280,4616,0.0,615.0,6165.0,0.0,1043.37,0.0,2575.41,2546.22,0.0,261.0,0.0,44.17,0.0,109.03,107.8,69203.0,-2.0,0,1,0,3,3,0
12919,3,5,0,10,0,2003,8,3,2,0,3,6,41,2,4,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,5,3,4,12,3,2,3,5,3,0,70,70,74,0,3,1,-2,-2,-2,1,5,3,2,1,1,-2,2,35,1,2,1,10,1080,1080,1136,1672,3237,0.0,0.0,39088.0,9535.87,2391.75,5619.68,2043.27,19497.43,0.0,968.0,236.15,59.23,139.17,50.6,482.85,39088.0,-2.0,0,1,0,7,2,0
12920,2,3,1,20,1,1958,8,3,1,1,2,5,41,2,3,-2,3,1,3,-2,-2,-2,-2,-2,-2,1,6,3,3,30,2,2,3,1,2,-2,70,70,68,0,-2,-2,-2,-2,-2,1,1,1,2,0,1,1,1,37,1,2,2,11,0,2930,250,666,5861,0.0,879.0,38979.0,0.0,0.0,0.0,6274.05,32704.95,0.0,1343.0,0.0,0.0,0.0,216.17,1126.83,129077.0,-2.0,0,1,0,5,0,2
12921,4,10,1,10,1,1955,7,3,3,0,6,9,30,2,4,-2,3,21,5,-2,-2,-2,1,3,5,5,4,2,3,13,2,3,2,1,3,0,68,68,68,0,-2,-2,-2,-2,-2,0,1,3,1,0,1,1,2,51,1,1,2,24,0,3204,0,62,9703,0.0,2277.0,31605.0,0.0,0.0,0.0,3305.37,28299.63,0.0,1127.0,0.0,0.0,0.0,117.87,1009.13,264998.01,-2.0,1,1,0,3,3,2
