DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELHEAT,ZFUELHEA,DNTHEAT,EQUIPM,ZEQUIPM,EQUIPAGE,ZEQUIPAG,HEATOTH,ZHEATOTH,EQUIPAUX,ZEQUIPAU,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,DKEQUIP,ELECAUX,UGASAUX,LPGAUX,FOILAUX,KEROAUX,WOODAUX,SOLARAUX,OTHERAUX,DKAUX,FURNFUEL,RADFUEL,PIPEFUEL,RMHTFUEL,HSFUEL,FPFUEL,NGFPFLUE,ZNGFPFLU,USENGFP,ZUSENGFP,RNGFUEL,DIFFUEL,EQMAMT,ZEQMAMT,ACTSOLAR,THERMAIN,ZTHERMAI,SETBACK,ZSETBACK,AUTOHEAT,ZAUTOHEA,TEMPHOME,TEMPGONE,TEMPNITE,HEATROOM,HEATNOT,ZHEATNOT
1040, 17593,9,3,5,4,2522,  994,2, 1,0,9, 3,0, 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,99,99,99, 9,99, 7,9,0,9,0,99,99,1,0,9,1,0,1,0,1,0,70,70,70,0, 0,0
1041, 10826,9,3,6,0,2767, 1438,2, 1,0,9, 3,0, 4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,0,0,9,0,69,95,50,0, 0,0
1042,  9130,9,3,7,3,2770, 1848,2, 1,0,9, 3,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,1,0,2,0,75,70,60,1, 2,0
1043, 13789,9,2,4,0, 670, 7659,5, 1,0,9, 2,0, 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,0,0,9,0,9,0,70,70,70,0, 0,0
1044, 22566,9,3,7,3,2189, 2924,2, 5,0,9, 3,0, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,1,0,1,0,76,68,68,0, 0,0
1045, 13251,9,4,9,0, 436, 6049,3, 5,0,9, 2,0, 5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,0,0,9,0,78,68,68,0, 0,0
1046, 23165,9,2,3,0, 477, 6862,2, 1,0,9, 2,0,96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,99,99, 1,99,99,9,0,9,0,99,99,3,0,9,1,0,0,0,9,0,67,60,60,1, 3,0
1047, 22072,9,4,9,2, 624, 1979,2, 5,0,9, 3,0, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,0,0,9,0,9,0,55,60,60,0, 0,0
1048, 17657,9,4,9,2, 704, 1772,2, 5,0,9, 3,0, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,1,0,2,0,70,55,60,0, 0,0
1049, 16288,9,3,7,0,2756, 1820,2, 1,0,9, 3,0, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,1,0,1,0,68,68,68,0, 0,0
1050, 20342,9,2,4,0, 506, 8442,2, 1,0,9, 7,0, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,0,0,9,0,9,0,65,65,65,0, 0,0
1051, 18325,9,2,3,0, 607, 6619,2, 2,0,9, 3,0, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,1,0,1,0,1,0,70,65,65,0, 0,0
1052,  5878,9,3,6,0,1671, 3130,4, 1,0,9, 7,0, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99, 9,99,99,9,0,9,0,99,99,1,0,9,0,0,9,0,9,0,75,95,70,1, 1,0
