DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
3779, 10729,9,4,9,2,1438, 2298,2,   0,1665, 572,   0,   0,   0, 474,   0,   0,   0,   0,  98,   0,   0,  0,1021,  0, 0,  0,0, 489, 0,155,326, 98, 22,151
3780, 19092,9,3,5,0,1060, 3537,2,   0, 656, 705,   0,   0,   0, 592,   0,   0,   0,   0, 113,   0,   0,  0, 435,  0, 0,  0,0, 113, 0,108,156, 19,  0,  0
3781, 24432,9,3,7,0,2631, 1750,2,   0,1071, 297,   0,   0,   0, 120,   0,   0,   0,   0, 177,   0,   0,  0, 579,  0, 0,  0,0, 278, 0,214,  0, 31, 61, 75
3782, 11140,9,4,8,0, 543, 7702,2,   0, 876,   0,   0, 657,  41,   0,   0, 367,   0,   0,   0,   0, 226,  0, 649,  0, 0, 64,0,   0, 0,186, 51,  0,  0,138
3783,  7840,9,1,1,0, 247, 8183,3,   0, 935,   0, 648,   0,   0,   0, 648,   0,   0, 309,   0,   0,   0,  0, 548,  0, 0,  0,0,   0, 0, 78,  0, 74,  0, 71
3784, 13343,9,3,6,0,1466, 3303,5,   0, 490,   0,   0,   0, 133,   0,   0,   0,   0,  72,   0,   0,   0,  0, 135,  0, 0,  0,0,  44, 0,106,  0, 13,  0,  0
3785, 23321,9,3,5,0,1719, 2415,5,   0, 426, 289,   0,   0,  64,   0,   0,   0,   0,   0, 289,   0,   0,  0, 164,  0, 0,  0,0, 105, 0, 93,  0, 14,  9,  0
3786, 10890,9,2,4,0, 564, 8278,2,   0,1060, 193,   0, 844,   0,   0,   0, 844,   0, 284,   0,   0,   0,  0, 579,193, 0,  0,0,  71, 0,126, 96, 40,  0, 59
3787, 13789,9,2,4,0,1183, 5791,2,   0, 714, 484,   0,   0,   0, 367,   0,   0,   0,   0, 117,   0,   0,  0, 490,  0, 0,  0,0,  76, 0,148, 79, 30,  9, 75
3788, 39666,9,2,3,0, 698, 5394,2,   0, 831, 728,   0,   0,   0, 530,   0,   0,   0,   0, 168,   0,   0,  0, 619, 30, 0,  0,0, 128, 0, 84,  0, 49, 59, 73
